A1,23029,1
A2,24611,1
A3,21551,1
A4,22940,1
A5,25620,1
A6,27909,1
A7,10992,1
A8,17624,1
A9,9070,1
A10,11124,1
A11,18246,1
A12,18629,1
A13,10320,1
A14,12914,1
A15,12158,1
A16,11058,1
A17,11400,1
A18,9713,1
A19,10267,1
A20,11405,1
A21,16305,1
A22,18799,1
A23,14222,1
A24,18748,1
B24,24582,1
B23,20038,1
B22,22594,1
B21,22901,1
B20,18062,1
B19,13558,1
B18,13995,1
B17,11351,1
B16,16148,1
B15,11747,1
B14,22953,1
B13,16799,1
B12,23161,1
B11,22634,1
B10,19220,1
B9,10296,1
B8,22613,1
B7,24005,1
B6,24023,1
B5,22860,1
B4,21421,1
B3,20862,1
B2,32580,1
B1,22663,1
C1,22789,1
C2,20171,1
C3,17394,1
C4,20063,1
C5,22843,1
C6,20441,1
C7,9480,1
C8,10908,1
C9,13685,1
C10,17193,1
C11,9248,1
C12,17562,1
C13,11760,1
C14,10603,1
C15,10312,1
C16,11890,1
C17,12101,1
C18,14491,1
C19,16741,1
C20,19311,1
C21,19719,1
C22,20552,1
C23,14897,1
C24,22079,1
D24,21615,1
D23,16745,1
D22,25273,1
D21,14673,1
D20,21957,1
D19,30185,1
D18,13370,1
D17,11398,1
D16,15794,1
D15,17253,1
D14,12805,1
D13,12741,1
D12,12439,1
D11,12989,1
D10,21022,1
D9,13743,1
D8,16010,1
D7,19988,1
D6,21709,1
D5,17586,1
D4,20219,1
D3,20869,1
D2,30631,1
D1,22721,1
E1,12379,1
E2,15560,1
E3,9189,1
E4,13478,1
E5,12992,1
E6,13098,1
E7,8714,1
E8,9616,1
E9,9577,1
E10,12983,1
E11,10884,1
E12,10887,1
E13,9531,1
E14,10677,1
E15,10295,1
E16,10132,1
E17,10212,1
E18,10157,1
E19,12200,1
E20,12283,1
E21,10284,1
E22,9475,1
E23,10928,1
E24,11377,1
F24,13345,1
F23,15298,1
F22,14337,1
F21,11039,1
F20,12889,1
F19,12097,1
F18,14443,1
F17,13052,1
F16,13801,1
F15,10873,1
F14,9700,1
F13,10794,1
F12,11702,1
F11,13241,1
F10,11291,1
F9,11347,1
F8,10002,1
F7,9468,1
F6,15716,1
F5,19140,1
F4,17210,1
F3,13128,1
F2,14177,1
F1,18875,1
G1,16411,1
G2,13561,1
G3,10889,1
G4,12750,1
G5,13495,1
G6,13475,1
G7,10470,1
G8,9182,1
G9,10903,1
G10,10447,1
G11,9220,1
G12,9974,1
G13,10673,1
G14,12349,1
G15,9380,1
G16,10901,1
G17,11442,1
G18,10652,1
G19,11594,1
G20,11290,1
G21,10044,1
G22,10395,1
G23,13640,1
G24,11653,1
H24,18514,1
H23,17877,1
H22,11969,1
H21,11078,1
H20,12324,1
H19,10852,1
H18,10574,1
H17,9191,1
H16,12756,1
H15,10542,1
H14,10773,1
H13,10143,1
H12,12947,1
H11,12828,1
H10,10549,1
H9,11546,1
H8,9603,1
H7,9393,1
H6,17807,1
H5,13003,1
H4,15757,1
H3,11740,1
H2,13106,1
H1,16751,1
I1,10230,1
I2,9571,1
I3,24644,1
I4,35758,1
I5,11964,1
I6,14038,1
I7,35623,1
I8,25497,1
I9,16320,1
I10,13586,1
I11,9599,1
I12,13763,1
I13,10882,1
I14,8850,1
I15,10651,1
I16,11832,1
I17,14999,1
I18,10907,1
I19,11394,1
I20,13913,1
I21,12338,1
I22,18145,1
I23,21040,1
I24,20804,1
J24,29126,1
J23,25405,1
J22,24555,1
J21,17982,1
J20,12069,1
J19,11976,1
J18,16223,1
J17,14386,1
J16,20407,1
J15,12487,1
J14,11055,1
J13,11081,1
J12,13189,1
J11,12639,1
J10,13628,1
J9,13241,1
J8,21970,1
J7,20792,1
J6,18054,1
J5,17952,1
J4,27383,1
J3,17189,1
J2,9982,1
J1,9688,1
K1,15649,1
K2,19072,1
K3,18365,1
K4,17864,1
K5,21740,1
K6,22142,1
K7,22408,1
K8,15151,1
K9,12994,1
K10,10650,1
K11,11780,1
K12,12398,1
K13,11369,1
K14,11782,1
K15,10964,1
K16,12593,1
K17,14079,1
K18,11889,1
K19,11818,1
K20,14216,1
K21,17349,1
K22,14583,1
K23,11365,1
K24,16924,1
L24,27316,1
L23,14092,1
L22,15086,1
L21,17645,1
L20,15371,1
L19,14490,1
L18,12397,1
L17,14683,1
L16,21037,1
L15,13141,1
L14,13668,1
L13,14085,1
L12,14044,1
L11,13464,1
L10,14607,1
L9,12369,1
L8,19564,1
L7,26678,1
L6,22887,1
L5,23225,1
L4,21741,1
L3,19899,1
L2,21316,1
L1,22580,1
M1,45861,1
M2,23697,1
M3,10603,1
M4,9374,1
M5,14397,1
M6,25143,1
M7,9807,1
M8,9475,1
M9,15941,1
M10,16934,1
M11,10580,1
M12,11218,1
M13,11021,1
M14,11516,1
M15,10987,1
M16,14694,1
M17,22809,1
M18,24833,1
M19,16334,1
M20,20379,1
M21,18729,1
M22,20162,1
M23,17936,1
M24,21851,1
N24,27303,1
N23,21467,1
N22,23448,1
N21,22701,1
N20,20001,1
N19,19382,1
N18,21455,1
N17,21147,1
N16,15118,1
N15,16240,1
N14,11191,1
N13,13448,1
N12,15397,1
N11,15785,1
N10,27385,1
N9,25150,1
N8,14065,1
N7,10027,1
N6,26126,1
N5,30643,1
N4,9647,1
N3,9450,1
N2,27967,1
N1,22241,1
O1,19684,1
O2,14693,1
O3,12278,1
O4,9919,1
O5,9827,1
O6,10039,1
O7,13864,1
O8,10723,1
O9,20444,1
O10,20925,1
O11,18145,1
O12,18874,1
O13,13155,1
O14,14874,1
O15,10798,1
O16,9468,1
O17,10150,1
O18,11083,1
O19,11483,1
O20,10894,1
O21,18613,1
O22,17166,1
O23,16110,1
O24,16240,1
P24,25581,1
P23,19311,1
P22,18732,1
P21,16899,1
P20,13340,1
P19,11306,1
P18,16345,1
P17,12007,1
P16,11258,1
P15,9941,1
P14,21207,1
P13,18055,1
P12,26416,1
P11,18990,1
P10,25403,1
P9,18220,1
P8,16627,1
P7,12671,1
P6,9724,1
P5,9403,1
P4,10177,1
P3,10254,1
P2,19406,1
P1,16767,1
